id_f,cons_text,cons_center,cons_date_year,cons_type_adj
CONS_099601,"8. 50대 여 LH전세임대
> 전세임대 살고 있음, 아파트 형태 가고 싶어함, 재개발임대아파트 신청 안내",은평주거안심종합센터,2019,공공임대주택
CONS_190467,"<추가확인내용>

<상담내용>
- 2020.09.05 에너지효율개선사업 냉방 지원완료됨",동대문주거안심종합센터,2021,기타
CONS_141838,"문자 알림 추가 등록
다가구, 국민 등, 국민임대 송파쪽 59신청했으나 떨어졌다고 함
갈수있는 아파트가 있는지 문의
보증금은 5천까지는 마련가능하고
현재 주인이 나가라고 할것같음
전세임대 거주중인데
월세가 85만원이어도 갈곳이 없어서 있다고 함
집값이 2배로 뛰어서 내년에 나가라고 할것같다고 함
25평을 원하고 방은 3개가 필요함
마장은 작아서 안넣었다고함
임대주택은 신청자격이 되면 신청해보고 당첨되면 그때 집을 보고 결정하는 방법을 권유
자녀들도 성인이되어가서 독립을 할수도있으니깐
청약 2년정도 납부한것같음 남편명의로 
미납된것있음 납부하라고 안내
lh문자알림 서비스 신청권유",성동주거안심종합센터,2021,기타
CONS_265847,"- 장애 5급
- 소득은 거의 없음
- 공공임대주택 소득, 자산, 자동차가액 안내
- 지금은 주택 보유. 9월에 매각 예상
- 공공임대주택 정보를 인터넷으로 얻으려면 국토부에서 운영하는 """"마이홈"""" 홈페이지를 이용할 것을 권유
- SH 문자알림서비스 등록(스마트폰)
- LH 문자알림서비스 등록 권유",중구주거안심종합센터,2019,공공임대주택
CONS_279295,"-보증금 및 생필품비 지원 확인차 전화드림
- 생필품비는 신청하여 지원받음",중구주거안심종합센터,2021,공공임대주택
CONS_252513,8월 1일 임대료 체납액 납부함.,강동주거안심종합센터,2022,기타
CONS_294181,"- 초록우산 WARM UP지원사업(난방비)과 관련하여
선정되지 않음을 안내. 
- 추후 다른 자원연계가 있으면 연락할 것 또한 안내.",중구주거안심종합센터,2021,주거비지원
CONS_038174,"전세 임대 공고 기간과 방법 문의
주민센타에 가서 직접 신청하시라고 안내 1/17~1/23",송파주거안심종합센터,2018,공공임대주택
CONS_119275,2020년 6월 전세임대 모집 공고 문자 발송,송파주거안심종합센터,2020,공공임대주택
CONS_261549,"- 집 명도 이전때문에 좀있음 나가야 되는데 빨리 이주할 수 있는 방법이 없냐고 문의하러 오심
- 아는 지인은 바로 됐다던데라고 하심
- 바로바로 입주가능한 것은 없음을 안내 
- 동주민센터에서 여기가보라 했다 함. 
- 수급자이나 주거급여는 명도때문에 못받고계시다 함
- 임대아파트 SH는 서울권만 하냐고 하시어 그렇다고 안내 
- 보증금 지원받는 전세임대,재개발임대 등 안내드림 
- 공고나오면 신청해보기로 하심. 
- 문자알림 서비스 등록해드림. 
",중구주거안심종합센터,2021,공공임대주택
CONS_109457,"청년임차보증금 대출기간 기한연장에 대해서 문의

연장신청 자격이 최초신청자격조건과 동일하다는 내용에 대해서 문의함.

연장신청을 할 수 있는 자격이 청년임차보증금 신청을 할 수 있는 조건과 동일하다고 안내드림.",관악주거안심종합센터,2020,주택금융
CONS_230038,"*주요사항: 
월소득 50만원~60만원 (파출일) / 주택청약 30회차 납입 (현재 300만원 저축)
현재 보증금 1천만원, 월임대료 35만원 거주중/ 마련가능보증금 3천만원
별거중 (남편이 경기도에 주택을 소유하고 있음) / 남편의 주택소유로 수급자 신청 불가. 

*문의사항: 신청 가능한 임대주택 문의.
-부부는 하나의 세대로 보기때문에 남편분이 주택을 소유하고있어서 별거중이어도 서류상으로 정리되지 않으면 임대주택 신청이 불가하고 남편분 자산 및 소득도 함께 본다고 안내.
-서류를 정리하게 된다면 다시 연락주시기로함. 
",성동주거안심종합센터,2022,공공임대주택
CONS_010930,"아동주거빈곤가구 해당되는지 확인해보려했으나 16시 이후 전화준다함.
전화오면 아동주거빈곤가구 여부 확인 후 주민센터 신청 안내해드릴 것, 아동주거빈곤가구 매입임대 안내완료
-방 1개라 함",동대문주거안심종합센터,2019,공공임대주택
CONS_163767,"주거안정지원상담 안내 문자 발송
11월11일 임대료 체납액 일부 납부로 상담 불필요",강동주거안심종합센터,2020,기타
CONS_109476,"에너지효율개선사업 신청 안내차 연락드림.
- 전화연결되었으나 바쁘셔서 월요일전화주시기로함",동대문주거안심종합센터,2020,공공임대주택
CONS_219249,"돌봄 & 1인가구 주택관리서비스 시공 오후2시경에 방문 드리겠다고 말씀드림.
북가좌1동 주민센터에 들러서 서류받아서 방문드리겠다고 전달함.",서대문주거안심종합센터,2022,1인가구주택관리서비스
CONS_222820,"사례회의 진행함

- 청년 전세임대 및 LH119센터 주거사다리 신청 안내할 예정

□ 목표설정
 1. 청년 전세임대 및 LH119 센터 주거사다리 안내 및 신청
 2. 신청 결과 확인 필요",노원주거안심종합센터,2021,공공임대주택
CONS_025100,"부동산에서 계속 연락온다고 함. 얼핏 빚을 갚아야 전세임대 계약 가능하다고 들었다고 함. 미심쩍은 면이 많음. 답답하지만 기다려보자고 얘기했음.
본 센터도 법무사 통과 없이는 어떠한 지원도 할 수 없음을 말씀드림.",노원주거안심종합센터,2018,공공임대주택
CONS_202892,"- 오전 부재중 전화보고 전화 했다고 함
- 주거취약(비주택) 전세임대 신청하였는지 물으니 신청했다고 함
- SH 전세임대 신청 해지 했는데 안내서를 등기로 받았다고 함
- 청룡동주민센터에 문의하라고 안내하고 주거취약 전세임대 당첨되면 전화달라고 요청 함",관악주거안심종합센터,2021,공공임대주택
CONS_082334,"- 10:05 문자 발송

SH 기존주택 매입임대 장기미임대 입주자 수시모집

매입임대 중 공가발생일로부터 1년 이상 경과된 주택으로서
서울시 거주 무주택자를 대상으로 무작위 전산추첨을 하는 전형입니다.

다가구가형: 50㎡이하/모든가구
다가구나형: 50㎡초과~85㎡이하/3인이상가구
원룸형: 50㎡미만/1~2인가구

1차 주택공개기간: 11/2(화)~11/5(금)
등기우편 접수: 11/5(금)~11/9(화)
입주대상자 발표: 11/23(화)
2차 주택공개기간: 11/24(수)~11/26(금)
소명 및 최종 입주대상자 발표: 12/9(금)

임대조건: 2년 재계약, 입주대기자 없을 경우 최장 6년 거주가능

-금천주거복지센터-",금천주거안심종합센터,2021,공공임대주택
CONS_299252,"<에너지주거 효율화사업 > 
- 단열벽지 도배, 창호 2개 , 장판은 다음주에 할예정 11월 4일 이후 할예정",중랑주거안심종합센터,2019,공공부조
CONS_038910,"국민임대 문의

조건과 절차 안내함",송파주거안심종합센터,2018,공공임대주택
CONS_027146,"** 당사자 방한 커튼 설치를 위하여 금일 방문함.
    현재 생활하는 거주 공간에 외풍이 심하여 거실, 작은방에 방한 커튼를 설치 완료해 드림.",성북주거안심종합센터,2021,주거비지원
CONS_219627,"- 재개발 임대 주택 신청하고자 방문
- 입주 모집 공고 내용 안내하고 임대 보증금과 임대료 등 궁금하신 점에 대해 설명함
- 신청서 작성 하시도록 도와 드렸으나 신청 단지는 좀 더 생각해 보고 선택하시겠다고 함
- 서류 빠짐없이 작성하고 등기 우편으로 접수 하시도록 말씀드림",동작주거안심종합센터,2021,공공임대주택
CONS_079778,"- 단독세대 (이혼하셔서 자녀분께서 근처에 거주하심)
- 2019년 8월달가지 실업급여 수급 (168만원)
- 보증부월세 3000/50 거주 중 -> 9월에 보증금 500인상해달라고 해서 인상해줘야하는 상황
- 9월에 취업하기 위해 요양보호사자격증 공부 중이심. 
- 청약통장 약 20회 이상 납입 (정확한 회차를 모르심)

> 2019년 7월 14일에 협의이혼하셔서 심적으로 힘드신 상태. 현 거주지의 월세를 전남편이 부담해 주기로 했는데 전혀 지원을 해주지 않아 월세가 너무 부담스러워서 이주를 원하심.  본인의 상황이 주변에 알려지는것을 창피해하심. 
> 나이가 만 62세이고 차상위계층이아니시고, 단독세대이기 때문에 가점을 받을 수 있는 사항이 나이, 서울연속거주기간, 청약통장 회차임을 안내해드리고, 단독세대주가 가점사항과 상관없이 당첨될 확률이 높은 공공임대주택은 공공임대아파트임을 안내해드림. 
> 일단 전세를 구해서 거주하시다가 임대주택 당첨될 수 있도록 청약회차를 꾸준히 납입하시고 싶으시다고 하심. 
> 8월 9일까지 신청가능한 보증금지원형장기안심주택 공고문(2019.07.22 공고)을 안내해 드림 ->  신청예정. 

>알림서비스등록(재개발, 공공, 국민 / 서울전역, 스마트) 
",양천주거안심종합센터,2019,공공임대주택
CONS_299355,"3인가구(대상자,친정어머니, 자녀)
국민임대 공고문이 나왔을때 계속 신청을 했었다고 함.
당첨이 된적이 한번도 없었다고 함.
임대주택 탈락 원인을 알고 싶어 문의함.
대상자의 오빠에게 친정어머니가 재산세를 내고 있다는 
이야기를 들었다고 함.
친정어머니가 주택소유인지 궁금하다고 함.
이와 관련헤 재산세 관련해서 세무소에 문의해 보길 안내함.
이후에 해당 주소지의 등기부등본을 확인하면 주택소유 여부를
확인할수 있음을 안내함.
",강동주거안심종합센터,2021,공공임대주택
CONS_054049,"공동모금회사업에 참여하고있는 대상자가 오늘 오후2시에 양지마을에서 근로를 하는날인데 감기로 몸이 너무 안좋아 근로를 할 수 없을 것 같다고 함. 실무자는 알겠다고 이야기하고 빠른 쾌유를 기원함.
당분간 상태를 본 후 연락을 주시겠다며 전화를 끊음.",강북주거안심종합센터,2018,기타
CONS_149870,"이사관련 서류 제출하려고 센터로 내방하심
21일 교육에는 참석 못하신다고 하심
",구로주거안심종합센터,2020,공공임대주택
CONS_298481,"*거주형태:배우자명의 자가주택(배우자는 시골에 거주)
*수급여부:본인명의 노령연금 수령함.
*거주인원:오점순 본인 
                 자녀 72년생 미혼(시각장애 3급. 일반서비스직 근로함)
                 자녀 75년생 미혼
*상담내용:용산구 소식지를 보고 주거복지센터로 임대아파트 문의하심.
*SH알리미 등록 신청해 드리고, 이후 공고 문의시 전화 주시기로함.
영구임대.매입임대.전세임대.행복주택/서울전지역
",용산주거안심종합센터,2020,공공임대주택
CONS_167657,* 노량진 2동 지역 재개발 구역으로 SH 전세임대 수시 접수 안내함,동작주거안심종합센터,2021,공공임대주택
CONS_121051,주거위기가구 주거상담을 위해 문자를 발송 해 드림,강동주거안심종합센터,2020,공공임대주택
CONS_183236,"<인적사항>
 - 1인가구/비수급자(2021.04월 수급자 신청하였고, 선정결과 6월 즈음 예상)
 - 청약저축 50회 정도 납입함
 - 동대문구 선호
 - 활용가능보증금 파악 못함

<경제상황>
 - 파악 못함

<주거환경>
 - 파악 못함

<대상자의 주거욕구>
 - 임대주택 입주 희망함 신청가능한 임대주택 유형 문의함

<상담내용>
 - 현재 수급자 선정 전으로 수급자 자격으로 신청가능한 임대주택 유형은 수급자 선정 후 안내해드리겠다고 함
 - 대상자는 활용가능보증금, 경제상황 등의 개인정보보다 임대주택 유형에 대해 궁금점이 많아 임대주택 유형 입주자격 및 신청절차 안내 완료
 - 문자알림서비스 신청안내 도중 대상자는 SH콜센터에서 문자알림서비스 등록을 해주었다고 함 이에 추후 공고 안내문자 받은 후 본 센터 연락 주면 공고 안내 해줄 것을 이야기 함
 - 추후 수급자 선정 후에도 연락 주면 수급자 자격으로 신청가능한 임대주택 유형 안내해드리겠다고 하며 상담 종료함",동대문주거안심종합센터,2021,공공임대주택
CONS_107613,"- 임대료 납부하시는 데 어려움이 있거나, 체납되신 게 있는지?
- 이번에 처음 한달치 납부하였고, 체납하면 안된다 생각해서 이번에 자동이체를 신청했다고 하심.
- 거주하는 데 불편한 점은 없고 코로나 때문에 일거리가 없는 게 가장 걱정스럽다고 하심.
- 3층이라서 폭우 피해는 전혀없다고 하심.",금천주거안심종합센터,2020,기타
CONS_144661,"1인가구 주택관리서비스 관련하여 문의하심

신청서 및 서류 지참 후 센터 내방하여 신청안내해 드림",성동주거안심종합센터,2021,기타
CONS_014818,"14:40 발신

시흥1동주민센터에 확인해 보니 아직 수급자는 
안되셔서 수급자증명서가 발급 안된다고 하니 
대신 기초연금확인서 발급 받으시라고 안내드림
등본과 기초연금확인서 준비 부탁드리고 다음주에
방문날짜 정해 연락드리기로 함

창호공사는 에너지재단 연계해 드리기로 하고
싱크대 교체 희망하심",금천주거안심종합센터,2022,1인가구주택관리서비스
CONS_150747,"- 구청 사례관리 담당자로 부터 연락받았으나 본 센터로 착각하셧다고 함.
",도봉주거안심종합센터,2020,주거비지원
CONS_061970,"※ 2021년 재개발임대주택 모집안내
*주택관리번호 : 2021-000785 / 10평대
1. 신청기간 : 11.29(월)~12.3(금)
2. 신청대상 : (1순위) 가구당 월평균 소득 50%이하자 (1인가구 70%)
3. 신청방법 : 우편접수 및 모바일접수
4. 공급호수 : 5,761세대(168개단지/예비입주자포함)",동작주거안심종합센터,2021,공공임대주택
CONS_303097,"조건부수급자로 일반 다세대로 거주하고 있으며 저렴한 공공임대로 거주하고 싶다함. 
신용상태는 좋지 않다함. 1인가구라함. 

LH국민임대 강남3유형 공고 안내함. 
SH장기매입임대(강남 논현동) 공고 안내함. 
자금이 부족하다함. 신용상태에 따라 전세자금대출 이용 가능하나 입주까지 상당한 시간이 소요되기 때문에 충분히 자금확보 계획이 필요함을 설명함. 

각 공사의 문자 알림서비스 신청할 것을 안내함.",강남주거안심종합센터,2022,공공임대주택
CONS_301180,"2021년 문자알림 재등록 안내차 연락드림/
영구임대, 매입임대, 국민임대, 전세임대, 재개발임대, 공공임대, 행복주택 /",도봉주거안심종합센터,2021,공공임대주택
CONS_196164,"<추가확인내용>

<상담내용>
- 2020.10.08 에너지효율개선사업 보일러, 냉방, 진 지원완료됨",동대문주거안심종합센터,2021,기타
CONS_035490,"* 체납가스비 및 전기료 지원 결정 안내 
  - 2021. 3.26 센터회의를 통해 지원결정.   
  - 지원결정 문자발송 : 김마리아님 성북주거복지센터입니다. 전화드렸는데 안받으셔서 문자드립니다.  지원요청하신 내용 지원확정되었습니다. 지원에 필요한 서류를 센터 팩스로 보내주시기 바랍니다. 1. 수급증명서 또는 한부모가족증명서   2. 주민등록등본 입니다.",성북주거안심종합센터,2021,주거비지원
CONS_149360,이사를 잘하셨고  생필품 환급에 신청서 작성 후 센터로 내방하여 주신다고 함.,구로주거안심종합센터,2020,공공임대주택
CONS_245417,"ㅇ 1인가구주택관리서비스 신청을 위한 자택 방문 
- 대조노인복지관 정병훈 사회복지사(070-4365-7838)로부터 연계된 사례임.
- 민간월세로 거주중인 1인 수급 어르신가구임.
- 장애3급이며, 간질병 등의 질병 가지고 있음. 
- 자택방문 결과 다음과 같은 서비스 필요하였음.
1. 방충망 중문 설치 필요(방충망 중문 없어 환기 어려운 상태이므로 설치 필요함)
2. 안방 왼편 방충망 교체 필요(방충망 손상으로 교체 필요)
- 안방 방충망의 경우, 창 외부에 방범창이 있고 연결선이 방충망 통해 연결된 상태이므로 업체 견적 방문 시 확인하여 가능여부 확정가능하다고 안내함.",은평주거안심종합센터,2022,1인가구주택관리서비스
CONS_033856,"방문, 창틀 교체 및 방충망 설치 하자 접수함.",성북주거안심종합센터,2019,기타
CONS_201199,"*경제
-수급자
-청약 1회
-보증금 3000만원 마련 가능

*욕구
-재개발임대 입주 희망하여 조건 문의
-동거인으로 2인신청가능한지 문의
-방 2개 희망
-동거인 청약통장으로 신청가능한지 문의

*센터조치
-재개발임대의 경우 방 2개 평수가 많이 나오지 않음 안내
-타지역도 괜찮으시면 공고나올 때 확인하셔서 큰 평수 선택하시면 됨 안내
-동거인으로 2인 신청을 불가하며 배우자나 직계 존비속이여야 세대구성원에 속함 안내
-작년 재개발임대 기준 큰 평수는 12~14점 정도로 당첨이 되었는데 현재 10점정도 나오심 안내
-2인으로 신청하고 싶으실 경우 세대가 합쳐져있어야 하며 배우자가 되어 있어야 가능함 안내
-신청자 본인의 청약 통장만 가능함 안내
-문자알림 등록(재개발)",서초주거안심종합센터,2021,공공임대주택
CONS_200335,"1인가구 주택관리서비스 관련해서 문의하심

신청서 및 구비서류 지참 후 센터 내방해 달라고 안내함. 
",성동주거안심종합센터,2021,기타
CONS_017886,"15:15 문자 발송

SH 기존주택매입임대 입주대기자 모집공고
모든가구(다가구가형) 100호, 3인이상가구(다가구나형) 80호, 1~2인가구(원룸) 20호 모집중

▶1순위 자격요건
①생계 또는 의료수급자 ②보호대상 한부모가족 ③주거지원시급가구 ④저소득고령자 ⑤월평균소득 70%이하 장애인
▶2순위 자격요건
①월평균소득 50%이하 ②월평균소득 100%이하 장애인

▶일정 및 접수장소
1순위: 9/6(월)~9/8(수)
2순위: 9/9(월)~9/10(금) *1순위 접수마감시 모집하지 않음
신청장소: 동주민센터
입주대상자발표: 12/24(금) 18:00",금천주거안심종합센터,2021,공공임대주택
CONS_179354,"* 증빙서류 취합
- 이사비 지원을 위한 서류 취합함.
- 이사비 견적서, 이사업체 사업자등록증, 사업자 통장사본
- 해당가구 수급자 증명서 팩스로 취합함.

* 이후 조치
- 해당가구 이사일정에 맞춰 센터 지원결정한 이사비 55만원(성아청35+비주택20) 이사업체로 이체 예정임.
- 추후 이사업체 세금계산서 취합 필요함.",성북주거안심종합센터,2021,주거비지원
CONS_096751,"인테이크 작성중 궁금한 점이 생겨 대상자에게 전화하여 문의함
1. 난방기구 유무
-전기장판만 있다고 함",동대문주거안심종합센터,2019,주거비지원
CONS_242264,"*주요사항
-3인가구: 본인+ 아내(외국인등록0) + 자녀(만11세)
-수급자(주거)
-주택청약 (2022.3월에 가입)
-마련가능보증금 2~3천만원
-소득: 아내 200만원 / 본인 일용직 100만원 (소득이 불규칙함.이번달은 소득 없음)
-주거형황: 보증금 1천만원, 월세30만원/ 방2개/ 상가주택 거주중

*문의사항: 신청가능한 임대주택
○재개발, 매입, 국민, 장기미임대안내

○국민임대 안내
-선순위 , 저렴한 보증금으로 신청가능한 주택안내 
-강남구 세곡지구 49㎡ 일반 보증금 4천5백만원,  월세 33만원 
-필요서류; 은행가서 공인인증서발급받아서 USB에 담아오기, 등본, 초본(상세)
-내방예정일: 5월 30일 월요일 오후3시 

",성동주거안심종합센터,2022,공공임대주택
CONS_086454,"영구임대 연기문자 보시고 연락주심.

이번에 나온 것이 집이 어느정도 크기인지 여쭤보심. 1인가구시면 보통 7,8평 정도라고 안내함.

",관악주거안심종합센터,2020,공공임대주택
CONS_212231,"- 재계약 자격 검증을 위한 서류 제출 요청 통지서를 받고 방문
- 어떻게 처리해야 하는지 몰라서 방문 하셨다고 함
- 금융정보 제공 동의서와 자산 보유 사실 확인서 작성하여 팩스로 전송
- 수신 여부 확인하여 대상자에게 알려줌",동작주거안심종합센터,2022,공공임대주택
CONS_141054,- 매입임대에 대해 문의하여 중복 신청 가능함을 알려주고 매입임대는 상시적인 것이 아니고 SH LH 공고가 나와야 함을 설명함,관악주거안심종합센터,2020,공공임대주택
CONS_205155,"안전바 설치 방문시간 확인전화함
10시반에 방문 예정임을 다시 말씀",강남주거안심종합센터,2021,주거비지원
CONS_210700,"실태조사 안내를 위해 전화드림

- 내일(10.19) 4시 ~ 4시 30분에 방문하기로 함",노원주거안심종합센터,2021,공공임대주택
CONS_291355,"- 주거밀집지역 주거 및 임대주택 상담 ( 서울시주최: 장소 서울역쪽방상담소 앞 새꿈어린이공원)에 참여 
- 수입 : 기초생활수급자 70만원(주거급여포함) / 무보증금 월세 14만원(저렴쪽방) 거주. 
- 2012년부터 떨어져살고 있는 처는 중국에 가있음. 중국사람인데 결혼하면서 한국국적취득. 부인의 따로가 사위는 한국에 잠시 왔다가 다시 중국에 감. (달과 사위 모두 중국사람), 이혼소송하고 있으며 아직 완전히 이혼이 되지 않은 상황임. 이것으로 인해 임대주택이 안되는지 궁금해하시기도 함. 
- 간경화 있음. 
- 연초 전세임대 신청했고 결과를 잘 모르겠어서 7월에 매입임대SH 또신청했음. 여러번 신청했는데 어찌된건지 모르겠다고 하심.
- 동주민센터 주무관이 당일 나와있어서 관련사항 확인해 주시기로 함. 
- 주거이동에 대한 생각은 많음. 
- 주거취약계층 임대주택 관련 안내 등",용산주거안심종합센터,2019,공공임대주택
CONS_017039,"- 문자 발송.

SH 보증금지원형 장기안심 주택 모집공고 알림
일반공급 : 무주택세대구성원, 월평균소득 100% 이하
우선공급 : 무주택세대구성원, 월평균소득 120% 이하, 신혼부부, 혼인기간 7년 이내
인터넷 신청기간 : 6/29~7/3
https://www.i-sh.co.kr/app/index.do
방문 신청기간 : 6/29~7/7 (금천구는 6/30)
서류 제출기간 : 6/29~7/10
입주대상자 발표 : 8/28
* 인터넷 접수 후 등기로 서류제출을 해야 신청이 완료됩니다. 

** 추가 안내사항
주택 물색기간 : 2021년 8월 31일까지
등기 서류제출 : 2020년 7월 10일 우편 소인분까지 인정",금천주거안심종합센터,2020,공공임대주택
CONS_122484,"* 화장품 나눔 행사 내방 및 후원물품 수령
- 나눔 장소 : 마포주거복지센터
- 나눔 물품 : 프레스티지이엑스 데스까르고 4종 스페셜 세트, 잇츠스킨 파워 10 포뮬라 싱글 오리진 앰플 레인보우 10종 세트
- 주거급여 수급신청 방법 문의하여 신분증과 임대차계약서 가지고 동주민센터 방문하여 신청하라고 안내함.",마포주거안심종합센터,2022,기타
CONS_093676,"*재개발임대주택신청은 안하기로 생각하셨다고 전화주심
- 나중에 영구임대주택의 공고 나오면 연락 부탁하심",노원주거안심종합센터,2019,공공임대주택
CONS_145201,"['봄'에 주거상담 받아'봄']
- 동작주거복지센터에서 동작주거안심종합센터 주거상담소로 이름이 바뀌었음을 안내 
- 해당대상자들은 비주택대상자로 상담 후 신청을 진행했던 대상자임 
-봄맞이 잘지내고 계신지 안부차 연락을 진행함
- 종결대상자로 해당서비스에 대한 것은 종결이 되었지만 1인가구, 고시원거주경험 등으로 고립가구 위험성이있어, 동작주거안심종합센터에서는 분기별로 종결대상자에 대해 안부연락을 진행할 예정",동작주거안심종합센터,2022,공공임대주택
CONS_144833,"[5월 SH공사 장기체납 취약계층 주거상담]

-소득이 불규칙하여 생활비부족으로 임대료 납부를 못했음
-연체된 금액 확인해서 빠른 시일내에 납부하겠음",양천주거안심종합센터,2022,주거비지원
CONS_202528,">반지하거주중인데 월세인상요구로 이사할 임대주택 문의
ㅇ가족현황: 단독세대
ㅇ경제상황: 조건부수급자(생계,주거)-올해부터 수급, 
                    코로나로 작년부터 근로를 하지못해 언니한테 빌려서 생활함
                    국민취업지원제도 신청하여 8/3일부터 교육시작예정
ㅇ주거현황: 보증부월세 50/10만원(반지하)-1년정도 거주함
ㅇ문제상황: 임대인이 월세 인상을 요구하여 이사하여야함. 짐은 다른곳으로 옮긴 상태.
ㅇ문의내용: 공짜로 살 수 있는 임대주택이 있는지 문의
ㅇ상담내용: 반지하에 거주중이고 수급자여서 주거취약계층 주거상향지원사업 대상자임을 안내
                   -주민센터에 내방하셔서 진행하시라 안내
                   -해당주택은 매입,전세임대가 있음과 자세한 안내드림.",은평주거안심종합센터,2021,공공임대주택
CONS_083183,- 10/15일(화) 2시 45분 주거복지강좌 참석요청 문자 재발송 독려,동작주거안심종합센터,2019,공공임대주택
CONS_131877,"* 2022년 저소득층 에너지효율개선사업 안내 및 연계 위한 전화상담
- 확인 후 연락준다고 함",서초주거안심종합센터,2022,공공임대주택
CONS_142066,- 해피인 점심나눔 시간에 수급자인지 확인하였더니 아니라고 함,관악주거안심종합센터,2020,공공임대주택
CONS_084944,추석명절인사차 전화드림,종로주거안심종합센터,2020,기타
CONS_225982,"<상담경로>
- 장기체납세대 상담

<상담결과>
- 소득이 감소해서 어렵지만 매월 분납하고 있다
- 8/18 10만원, 8/26 10만원, 8/31 15만원",동대문주거안심종합센터,2022,기타
