sent_content,label,senti_score_google
분수도 쏠쏠.,긍정,0.400000006
야경도 좋으네요,긍정,0.899999976
쾌적하고 좋아요,긍정,0.899999976
지역 산책로로서는 최고,긍정,0.899999976
한강뷰가 아름다운곳,긍정,0.899999976
아이들과 산책 아주 훌륭합니다,긍정,0.899999976
날 좋을때 다시가야겠어요!,긍정,0.899999976
매우 좋음.,긍정,0.899999976
상암 하늘공원 억새ㆍ마포나루,중립,0.300000012
드론구경하기좋고!,긍정,0.899999976
입장 저렴 원 ㄱㅊ,긍정,-0.100000001
기분이 좋아지는 곳.,긍정,0.5
걍 걷기 만해서 모르겠네요,중립,-0.100000001
봉사활동 갔었는데,중립,0
너무좋아 진짜좋은데.,긍정,0.899999976
용ㅎㅎ 동물원도 재밌습니다,긍정,0.600000024
별로기구도없어요,부정,-0.600000024
다양한 놀이시설물 완비. 좋아용,긍정,0.899999976
"공원이 아름답고,",긍정,0.5
여기 캠핑장 이용하지 마세요.,부정,-0.699999988
시끄럽고 번잡하지만,부정,0.200000003
산책하면서운동하기좋아요,긍정,0.899999976
주택가 사이에 있어,중립,0.200000003
섬데이페스티발로 다녀왔어요,중립,0
사진 찍기 좋은 곳,긍정,0.899999976
눈오는 날 가니 더 좋았음,긍정,0
연인들에게 데이트 추천장소입니다,긍정,0.800000012
아직 그렇게 심하진않음,중립,-0.100000001
화장실 관리가 필요할거 같네요,부정,-0.200000003
자전거 도로 난지도,중립,0.300000012
대단한경험이었습니다,긍정,0.300000012
걷기 좋아요!,긍정,0.899999976
입장료원 아깝지않았어요,긍정,0.899999976
여의도 한강 불꽃축제 다녀왔어요,긍정,0.5
먹자골목 있습니다,긍정,0.400000006
입장료는 무료에요.,중립,0.400000006
햇볕이잘들어서,긍정,0.600000024
개웅산에 있는 평강제일교회 입니다,중립,0.699999988
세계문화유산,중립,0.300000012
낮에도 밤에도 멋집니다.,긍정,0.600000024
이거없으면 여긴 시체,긍정,0.5
등산을 시작해 보세요,중립,0.5
아이들 놀기 좋은곳입니다.,긍정,0.899999976
장소가 트여있어 마음이 편해요,긍정,0.899999976
야경이 멋찌네요!,긍정,0.899999976
미세먼지도 없고.,긍정,0.699999988
연인과 오면 좋을 거 같네요,긍정,0.899999976
년전부터 플라스틱으로 씌웠다.,중립,0
최고예요.,긍정,0.899999976
좋았습니당,긍정,0.400000006
아이들 놀기 좋아요,긍정,0.899999976
하루코스 추천 단 운동화 신을것,긍정,0.400000006
깨끗하고 휴식공간도 넓음,긍정,0.899999976
야경이 아름답군요,긍정,0.800000012
강추합니다,긍정,0.899999976
오르막길 많다.,긍정,0.200000003
힐링이된다.,긍정,0.300000012
날이좋아서ㅡ,긍정,0.300000012
숲이 좋아요,긍정,0.899999976
에있는 공원입니다,중립,0.400000006
조용하고 멋져요,긍정,0.899999976
은평구 응암역인근 주민들의 핫플,긍정,0.400000006
북악스카이웨이팔각정 아침 방문했는데,중립,-0.200000003
젊고 예쁨,긍정,0.300000012
전기불 축제인가.,중립,0
공연장 운동장도 이용가능합니다,긍정,0.800000012
시설이 좋아요,긍정,0.899999976
밤과낮이 아름다운 곳,긍정,0.899999976
코로나때문에 사람이 많아서,중립,0
굿굿굿 좋습니다.,긍정,0.899999976
매일 자전거탄다,중립,0.600000024
맑은 하늘,긍정,0.699999988
넓고 좋아요,긍정,0.899999976
아주좋은 종묘공원,긍정,0.899999976
가슴까지 후련해지던걸요,긍정,0.5
농구장이 다 망가졌어요,부정,0
애들도 좋아하고 시원해서 좋네요,긍정,0.899999976
화장실이 깨끗해요,긍정,-0.200000003
개인적으로 조명도 좋아요^^,긍정,0.899999976
도심한복판 슬슬걷다,중립,0.300000012
가을 경치 너무 멋지다.,긍정,0.699999988
서울 야경이 멋집니다.,긍정,0.800000012
좋은 공원,긍정,0.899999976
산책하기 좋아유,긍정,0.600000024
넘 좋아아요,긍정,0.600000024
주변 지저분 소규모,부정,0.200000003
처음으로 감동했습니다.,긍정,0.899999976
좋았습니다,긍정,0.899999976
꽃구경잘했어요,긍정,0.100000001
왜 사람이 없지.,중립,0
티비에서 가끔 보고 들은 곳,중립,0.200000003
자주 가는데,긍정,0
재미있었어요.,긍정,0.400000006
좋은 추억,긍정,0.899999976
이용료가 너무 비싸다,부정,-0.100000001
가을을 느끼기에 최적,긍정,0.800000012
멋짐ㅋ 섬나라로 초대,긍정,0
근데 갈 친구도 애인도 없다면?,중립,-0.200000003
바람도 솔솔 불고 좋네요.,긍정,0.899999976
아담한 공원이네요,중립,0.800000012
사람이 많음.,중립,0
찾는 이가 없음.,부정,0.600000024
기대가 커서 그런가 실망도 크다.,부정,-0.800000012
한국 음식을 먹을 수 있습니다.,중립,0.899999976
날은 추웠지만,중립,0.200000003
너무 넓어서 걷기 힘들어,부정,-0.300000012
깻끗한 하천이고 잉어가 많아요,긍정,0.600000024
에 비교하여 보통 입니다.,중립,0
넓은 잔디 .아름다워요,긍정,0.899999976
경치는 그럭저럭좋음.,긍정,0.699999988
멋진곳입니다,긍정,0.899999976
조용하고 좋습니다,긍정,0.899999976
걷기에 아주 좋은 곳입니다.,긍정,0.899999976
평화롭고 고요한 공원입니다.,긍정,0.800000012
아이들과 산책 좋아요,긍정,0.899999976
산보 다니기 좋네요,긍정,0.800000012
황새가 걸어다녀요,중립,0
야경이 너무이쁘고 멋진곳,긍정,0.899999976
운동하기 좋은 공원입니다.,긍정,0.899999976
산책하기 좋아요,긍정,0.899999976
도봉구 자랑거리.,긍정,0.200000003
그럭저럭임,중립,0.300000012
입장료도 무료라 좋아용 킹끼리!,긍정,0.899999976
주차 대란 시간걸림,부정,-0.5
운동 삼아 지나는곳,중립,0.699999988
단풍이 이쁘고 광주바위가 인상적,긍정,0.899999976
너무너무좋아요.,긍정,0.899999976
이화벽화골목에서 이어짐.,중립,0.100000001
별로입니다,부정,-0.800000012
조잡함. 부조화의 극치,부정,0.200000003
잠시 휴식하기 좋습니다,긍정,0.899999976
애완견 데리고 산책하기 좋은 곳,긍정,0.899999976
눈도 몸도 마음도,중립,0.400000006
코스가 아주 단조로움,부정,0.200000003
조용하고쉬기 참 좋습니다.,긍정,0.899999976
둘레길 걷기도 좋습니다.,긍정,0.899999976
집회하기 좋음,긍정,0.899999976
자주 애용합니다.,긍정,0.899999976
사람너무맣고재밋고축제같음,긍정,0
먹을께 읍다,부정,0.400000006
산책하기 좋다.,긍정,0.899999976
의외의 장소에서 기쁨을,긍정,0.699999988
한번쯤 방문해서 들러볼 만 합니다.,긍정,0.600000024
바람쐬러가기엔 좋지요 ^^,긍정,0.800000012
단풍이 곱게 들었다.,긍정,0.200000003
큰 감흥 없었다.,중립,0
꽃놀이 오세요,긍정,0.300000012
더운날 이었는데,중립,-0.100000001
산책하기 넘 좋네요,긍정,0.899999976
주차빼고 다 좋져.,긍정,0.200000003
경치나 전망은 좋은편,긍정,0.899999976
러닝하기 좋은장소,긍정,0.899999976
애들하고 가보기 딱 좋아요,긍정,0.899999976
규모는 크지않지만,중립,0.400000006
코로나검사중입니당,중립,0.5
산책하기 좋은 공원입니타,긍정,0.899999976
그 이상 그 이하도 아니다.,중립,-0.200000003
주말마다 농구하는곳,긍정,0.5
너무좋고 한강이 너무예뻐요,긍정,0.899999976
공원은 생각보다 안큼.,중립,0.5
산책하기 좋다.,긍정,0.899999976
어린이날 행사때 갔어요,중립,0.5
아이들 놀기도 좋아요,긍정,0.899999976
광장에 사람들이 넘 많이 모였어요,부정,-0.5
산책하기는 너무좋은곳 입니다,긍정,0.899999976
도로와차구경도 좋아요,긍정,0.899999976
식물원을 보는게 재밌을까?,중립,0
도심속에 공원 아주 좋아요!,긍정,0.899999976
세금 겉어서 선심 잔치 하는곳 .,부정,0
강추합니다!,긍정,0.899999976
늘 산책하는 공원,긍정,0.899999976
늘 이용하는곳,긍정,0.800000012
나무도 많고 전망대도 좋네요.,긍정,0.899999976
데이트하기 좋은 곳입니다,긍정,0.899999976
집에서 가까워요,중립,0.400000006
작은동산 좋음,긍정,0.800000012
조금 번잡하고 시끄러워요,부정,0.100000001
너무 비싸 사지 못했는데,부정,0.100000001
사람 너무많음,부정,-0.400000006
배드민턴 맛집,긍정,0.899999976
산책혹은 운동하기 좋은곳입니다,긍정,0.899999976
도 오래기다녀야했어요,부정,0.5
젊음의 거리 산책하기에도 좋다,긍정,0.899999976
겉기좋고 숲이많아 좋아요.,긍정,0.899999976
머리비울때 오가 좋은 곳.,긍정,0.899999976
그외 편의 시설은 불편,부정,-0.5
좋아합니다.,긍정,0.200000003
계란 원 추가였어요,중립,0
계절 산책하기 좋다,긍정,0.899999976
야경맛집입니다.,긍정,0.899999976
도심 휴식처로 좋아요.,긍정,0.899999976
점심 먹고 산책,중립,0.300000012
테마파크급,긍정,0.300000012
깨끗하고 좋아요,긍정,0.899999976
마무리 개장 준비가 한창입니다.,중립,0.100000001
특히 아이동반.,중립,0
거리공원 걷기가 부족하다,부정,0.200000003
아이들과 놀기에 너무좋아요,긍정,0.899999976
잔디도 좋고 전망대도 좋아요,긍정,0.899999976
서울관문 서울역,중립,0.300000012
당연히 와야할 곳,긍정,0.400000006
은 시원해요,긍정,0
풍경은 좋았다,긍정,0.800000012
돌아다니는 녀석들도 많아요.,중립,0.600000024
좋겠어요.,긍정,0.200000003
독산동 포켓스탑 핫플레이스,긍정,0.300000012
코스모스도 예쁘게 피었어요.,긍정,0.899999976
졸업사진 촬영했네요,중립,0.400000006
아직 정식개장은 아니었지만,중립,0.200000003
도심에서 이런분위기 좋아요,긍정,0.899999976
아직은 다듬어 가고 있는 곳,중립,0.400000006
물가 앞이라 물놀이는 좋앗는데,긍정,0.100000001
평균 연령이 높아요.,중립,0.600000024
아주쾌활하고 상콰하여 좋았음,긍정,0.899999976
기분이좋치안음,부정,0.100000001
산책하기 좋아요,긍정,0.899999976
배드민턴 치기 좋은곳!,긍정,0.899999976
치킨존맛탱,긍정,0.300000012
이번주 벗꽃 절정입니다,긍정,0.100000001
자전거 대여소가 있지만,중립,0.100000001
맞기라도 하면.상상도 싫으네요,부정,0.699999988
자전거가 타고 싶어서 돌아다녔음.,긍정,0.300000012
집하고 가까운공원이라 좋은곳,긍정,0.899999976
운동하기좋은곳,긍정,0.899999976
야경 멋짐,긍정,0.699999988
주차 불편하고 잔디 교체 필요,부정,-0.800000012
나비 꽃 곤충을 볼 수 있어요,중립,0.800000012
봉사활동으로 가봤어요,중립,0.100000001
센스도 맛도최고. ㅎ,긍정,0.800000012
내년에도 가야겠어요,긍정,0.600000024
봄 여흠 가을 산책 좋은곳.,긍정,0.899999976
억새풍경도 멋찝니다.,긍정,0.800000012
아이들과 꼭 멀리 가야하는건 아니다,중립,0.300000012
주말에 시간 제한이 있지만,중립,0
정말 어르신들이 모이는 곳,긍정,0.699999988
깔끔해서요,긍정,0.899999976
깔끔하네요,긍정,0.5
주말에 등산객이 많다는정도,중립,0.100000001
오픈된 새로운 청와대의 경험,긍정,0.600000024
넓진 않지만,중립,0.300000012
반려식물^^,중립,0.699999988
집 가까이 산있어서 좋아요,긍정,0.899999976
주차 물 날파리 많음,부정,0.300000012
작은 아늑한 공원.,긍정,0.200000003
서울에 살아서 누릴수 있는 재미,긍정,0.899999976
코끼리는 그나마 활발함.,중립,0
걷기 좋아요.,긍정,0.899999976
풋살장 따로있습니다.,중립,0.100000001
밤에 야경이 그만입니다,긍정,0.800000012
이곳은 설명이 필요없음,긍정,0.600000024
이 많아 좋습니다.,긍정,0.899999976
산책로 너무 좋아요,긍정,0.899999976
자전거와 킥보드를 타기에 좋아요,긍정,0.899999976
깔끔하고 운동기구구비,긍정,0.899999976
안알려졌으면 좋겠음,긍정,0.200000003
야경도 좋고 낮뷰도 좋아요.,긍정,0.899999976
그냥 한번 들러봤는데,중립,0
보기 좋네요.,긍정,0.899999976
운동 산책의 명소,긍정,0.699999988
최고의 산책 코스,긍정,0.899999976
편의점 물건이 겁나비쌈,부정,0.5
가벼운 산책 겸 등산코스로 최고,긍정,0.899999976
가을 풍경 좋아요,긍정,0.899999976
밤에 예뻐요!^^,긍정,0.899999976
실내 배드민턴장에 갔는데,중립,-0.100000001
운동하기 좋은곳입니다,긍정,0.899999976
멀리서 찾아올 만한 장소는 아니고.,중립,-0.100000001
나의 후원!^^,긍정,0.899999976
나만 알고픈 비밀장소^^,긍정,0.699999988
에 생겨서 너무 좋아요,긍정,0.899999976
그냥 좋음!,긍정,0.899999976
도움이 되는 곳입니다,긍정,0.899999976
휴식처로공기말고힐링에도음이된다,긍정,0.300000012
가을 경험하러 다녀옴,긍정,0.300000012
공기가좋고 시원한 곳,긍정,0.899999976
조아요 !,긍정,0.899999976
깔끔하고 조용함,긍정,0.899999976
다음에는 텐트가져가야겠어요^^,긍정,0.699999988
산책하기 구웃,긍정,0.600000024
" 매일 지나가지만,",중립,0.400000006
아이들 놀기 좋아요,긍정,0.899999976
도심속의 명소.,긍정,0.5
산책을 할수있습니다.,긍정,0.800000012
내년에 가족들이랑 또 갈래요!,긍정,0.899999976
애완견 놀수있는 넓은 운동장도 있구요,긍정,0.800000012
놀라운 전망이 열리는 곳,긍정,0.899999976
다른계곡처럼 되어있는게 아니고.,중립,-0.200000003
방문할만한 꽤 좋,긍정,0.899999976
놀이기구도 많고 재미있어요.,긍정,0.899999976
아주 좋아요.,긍정,0.899999976
넓고 시설도 잘되어있습니다.,긍정,0.899999976
어르신들이 장기 두시는곳,중립,0.200000003
좋은풍경 맛난음식,긍정,0.899999976
지난 월일 다녀왔습니다,중립,0
아이들 자전거 재밌게 탈 수있어요,긍정,0.899999976
아이들 놀기 좋아요,긍정,0.899999976
힐링 제격.,긍정,0.699999988
시원하고 경관 좋아요,긍정,0.899999976
공원이 아님.,부정,-0.699999988
산책코스 굿입니다,긍정,0.899999976
밤에 갔는데,중립,0
운동하기좋아요,긍정,0.899999976
여의도 공원 최고죠.,긍정,0.899999976
자전거도로도 연결되어있구요,긍정,0.699999988
그만 오세요,부정,0
남산둘레길 다녀옮 너우너무좋아,긍정,0.400000006
산책하기 좋아요,긍정,0.899999976
지역주민 이용용이,긍정,0.100000001
야경이 넘 이쁨 곳이에요,긍정,0.899999976
에서 겨울운동 즐길수 있어요,긍정,0.899999976
저녁 때 사람이 많긴 하지만,부정,0.300000012
마음 편히 시간 보내는 곳,긍정,0.899999976
시간여행하는 느낌 좋아요.,긍정,0.899999976
"아름다운 공원입니다 ,",긍정,0.899999976
연못도 있어서 제법 운치가 있다,긍정,0.899999976
산책하기 좋은 곳,긍정,0.899999976
도시 속 힐링 공간 입니다.,긍정,0.899999976
날이덥고 넓으니 힘들지만,부정,0.600000024
가성비 좋음.,긍정,0.899999976
정말 멋진 곳입니다,긍정,0.899999976
야간관람 추천드려요,긍정,0.899999976
맑은하늘을 맘껏볼수있는곳,긍정,0.899999976
공원조성은매우만족스러우나.,긍정,0.800000012
"한강 수상레저, 잠실 수상레저파크",중립,0.200000003
등산객도 있고요 용마산 올라가는입구,중립,0.699999988
"텐트 허용 장소도 있고,",중립,0.600000024
"도로변에 주차를 하면 됬었고,",중립,0
산책하기 좋죠,긍정,0.600000024
운동하기에 좋은곳,긍정,0.899999976
많은 생각에 잠기게 하는 곳,중립,0.699999988
사람이 느므느므 많으다,부정,0
걷기엔 좋아요,긍정,0.899999976
편안히 산책하기 좋아요,긍정,0.899999976
강아지산책하기좋아요.,긍정,0.899999976
경치가이쁜곳,긍정,0.899999976
너무 좋아요,긍정,0.899999976
데이트 코스로 좋아요,긍정,0.899999976
아직 다 안폈긴한데,중립,0.200000003
넓은잔디와 확틴전경에 쾌적함,긍정,0.800000012
현대적 좋음,긍정,0.899999976
아직은체계가잡히진안은듯,중립,0.400000006
조용하고 신선해요,긍정,0.899999976
운동하기 좋아,긍정,0.899999976
볼 건 없지만,부정,0.200000003
언제가도 좋은 곳입니다,긍정,0.899999976
여의나루 한강공원입니다,긍정,0.100000001
구민의 힐링장소 최고입니다,긍정,0.899999976
산책하며 걷기 좋다.,긍정,0.899999976
등 음악공연들 보기좋네요.,긍정,0.899999976
산책하기에 딱좋아요,긍정,0.899999976
생각보다 좋았던 곳 아름답다,긍정,0.699999988
도심 속 편히 쉴 수 있는곳,긍정,0.899999976
공연하기좋아요,긍정,0.899999976
고양이 좋아한다면 강추합니다.,긍정,0.899999976
초등 남아가 아주 재밌어해요,긍정,0.899999976
넓어서 좋고 경치도 아름다워요,긍정,0.899999976
카페도 잘되있고!,긍정,0.899999976
다양한 건물과 연결,긍정,0.899999976
전망도 끝내줍니다,긍정,0.699999988
운동하기 좋아요,긍정,0.899999976
예매는 미리 해놓으면 좋습니다.,긍정,0.600000024
"잔디공원, 토성 산책길, 장미정원",중립,0.200000003
너무나 아름다웠던 곳,긍정,0.899999976
낮잠 자기 좋음,긍정,0.5
도심속 좋은공간,긍정,0.899999976
편안한 도심 속 숲길,긍정,0.899999976
아름다운 야경이 있다.,긍정,0.899999976
멍때리고 앉아있기 좋음,긍정,0.899999976
꼭 한번 가보세요,긍정,0.899999976
한강이 아름다움,긍정,0.899999976
결혼식만 안 하면 좋아요,중립,0.600000024
젊음이 넘치는 거리,긍정,0.800000012
걍 가벼운 운동하기좋와여,긍정,0.899999976
불볕더위에 땡볓이지만,부정,0.300000012
시설은 괜찮지만,긍정,0.300000012
애들 놀이터입니다.,중립,0.300000012
딱좋은공원!,긍정,0.899999976
한적함에도 깔끔한 공원,긍정,0.899999976
서울 여행지 한강유람선,중립,0.300000012
말 그대로 광장이에요.,중립,0.5
한적허니 좋아요.,긍정,0.5
산책하기 좋은곳,긍정,0.899999976
정말 아름다웠습니다,긍정,0.600000024
아이들에게 천국인 곳,긍정,0.800000012
길 걸어서 가기좋음,긍정,0.899999976
관리도 잘 돼있습니다.,긍정,0.899999976
아이들과 정말 가기좋은곳,긍정,0.899999976
물소리만 들어도 시원하네요,긍정,0.200000003
개선이 필요합니다,부정,-0.600000024
주차공간이 턱없이 부족함.,부정,-0.200000003
밤엔 넘 춥다.,부정,0.200000003
쥐가 너무 많아요.,부정,-0.5
넘 사람들이 많다.,부정,0
산책하기 좋은 곳입니다.,긍정,0.899999976
"십여년만에 갔는데,",중립,0
젊음을 즐기고 있다.,긍정,0.699999988
텐트를 대여하여 방문했습니다.,중립,0.100000001
차들도 지나가야지요.,중립,0.300000012
너무 더웠네요.,부정,0
날씨보고 가도록 하세요,중립,0.400000006
"형이 진지하게 말하는데,",중립,0
가을 하늘이 높고 좋네요.,긍정,0.899999976
이젠 가을이네요.,중립,0.699999988
혼자서 여기 왔는데,중립,0.200000003
걍 집에서 잠이나 자세요,부정,0.5
여름이라서 텐트쳐도 더웠어요.,부정,0.600000024
일단 주차장 주차장에 했는데.,중립,-0.100000001
시민의식 결여.,부정,0
외국인 나들이객들이 많다.,긍정,0.200000003
쓰래기통도 많다.,중립,0.699999988
빌리는 돗자리는 비싸고 작아요.,부정,-0.5
"사람은 너무 많고,",부정,-0.400000006
갈매기랑 비둘기 너무많음,부정,-0.400000006
산책하기 좋습니다,긍정,0.899999976
라면자판기 꼭 먹어봐야지했는데,중립,0.699999988
그곳 비추천합니다.,부정,0.100000001
맛도 별로없고.,부정,-0.699999988
이벤트 하는 날에는 지옥.,부정,-0.300000012
시원하지도 않고 그냥그랬어요.,중립,0.600000024
기다리면서까지 먹고픈맛은 아닙니다,부정,0.400000006
공원이라 하기엔 부족함이 있어요,부정,0.5
불꽃축제관람을위해방문했는데,중립,0
쉼터 중에 가징 좋은 곳입니다,긍정,0.899999976
휴식장소로 괜찮습니다,긍정,0.899999976
차도 너무 막혔네요.,부정,0
촛불축제에 갔었는데,중립,0
편의점이 대박 비쌈.,부정,0.800000012
장사 겁나 잘되더군.,긍정,0
사람이 너무너무 많다,부정,-0.400000006
산책하기 좋은데,긍정,0.5
돗자리 까는데,중립,0
ㅜㅠ 바람도 춥고 해서 아쉬웠네요,부정,0.5
먼지바람 개쩜,부정,0
사람만 많고.,부정,-0.400000006
비가오니 할게 별로 없음,부정,0
사람 겁나 많아,부정,0.100000001
오랜만에 아이와 둘이 다녀왔어요,중립,0.899999976
코트에도 먹을게 너무 없고.,부정,-0.600000024
넘 안쓰러웠어요.,부정,0.200000003
뭐라 할말이 없더라구요.,부정,0.5
평상도 여러개 있어서 쉬기도 좋다,긍정,0.899999976
어린이대공원 후문쪽,중립,0.100000001
"어린이가 타기에 안전하지 않았고,",부정,-0.5
이 많아 보수가 필요한 곳,부정,0.5
" 입장료는 무료이고,",중립,0.300000012
너무 오래된느낌이예요.,부정,-0.5
아이랑 같이 가기 좋지만,긍정,0.300000012
일단 입장료 무료라 좋아요.,긍정,0.899999976
주차는 엄청 불편해요,부정,-0.699999988
주차가 좀 힘듦,부정,-0.300000012
사진은 반달가슴곰,중립,0
아이들과 구경하기 좋습니다,긍정,0.899999976
ㅜㅜ 관리가 좀 필요해요.,부정,-0.400000006
리모델링이 시급하네요,부정,0.100000001
ㅋ 공원은 괜찮아요,긍정,0.600000024
재밌어 보이진 않음,부정,0.200000003
어른이된다음 혼자왓는데,중립,0.200000003
동물보는 재미가잇네요,긍정,0.899999976
데이트하기 좋음,긍정,0.899999976
아이들 놀기 좋음,긍정,0.899999976
주말 평일이 좋음,긍정,0.899999976
넓기만한 거대놀이터.,부정,0.600000024
웬만하면 가지마세요,부정,-0.800000012
코로나때문에 거의 닫음,부정,-0.300000012
힘도 없어보이고.,부정,-0.699999988
사람 너무많다.,부정,-0.5
놀이기구쪽에 앉을곳,중립,0.400000006
아직은 겨울인데 꽃구경 행복했다,긍정,0.800000012
봄을 맛본기분 넘좋당,긍정,0.200000003
사람도 너무 많아서 치이고.,부정,-0.5
대중교통이 차라리 나아요.,부정,-0.600000024
아기있는 가족에게 강추,긍정,0.899999976
생각이 나서 가보았습니다,긍정,0.300000012
살짝 실망스러운 모습이라.,부정,-0.699999988
날씨도 좋고 너무 좋았어요,긍정,0.899999976
봄철에 꽃구경하기 좋네요,긍정,0.899999976
접근성이 좋았습니다,긍정,0.899999976
그것이 많이 아쉬웠습니다.,부정,0
차라리 컵라면 강추,긍정,0.400000006
한낮엔 비추.,부정,-0.699999988
기다리다가 지침,부정,0
동물들이 불쌍해요,부정,0
주차비 너무 비싸요,부정,-0.5
그냥 정갈할뿐.,중립,0.200000003
그냥 별로임,부정,0
주차가 개판임.,부정,0
가족 봄소풍 좋네요,긍정,0.899999976
동물들이 비실비실합니다,부정,0.400000006
인성개씨발동네 ㄹㅇ,부정,-0.600000024
" 시설도 낙후되었고,",부정,0.800000012
절대 가지 마세요.,부정,-0.800000012
동물들 정말 너무 불쌍해요.,부정,0.600000024
벗꽃이예쁘게피엇어요,긍정,0.100000001
이런 공윈이 서울에 있다니 대단해요,긍정,0.699999988
사람 너무 많음,부정,-0.400000006
산책 겸 다녀오긴 괜찮아요,긍정,0.899999976
아이들 이랑보내기 좋아요,긍정,0.899999976
식물원 관리가 필요하네요,부정,-0.400000006
먹거리 메뉴가 다양치 않고 비쌈.,부정,0
산책 하기에 좋아요,긍정,0.899999976
산책코스로도 좋음,긍정,0.899999976
코로나때문에 부분개방이라 아쉬움,부정,-0.699999988
봄에 가면 벚꽃이 활짝,긍정,0.400000006
"겨울엔 비추천, 동물원 낡았어요",부정,0.400000006
주차는 정말 개선되어야함,부정,0
무료니까 더 좋다,긍정,0.899999976
걍 걷기 만해서 모르겠네요,중립,-0.100000001
방문시 공사여부 확인필 바랍니다.,중립,0
미국대사관 앞.,중립,0
청계천이 시작하는 곳,중립,0.300000012
복잡하고 시끄러움.,부정,0.200000003
어렸을 때에는 몰랐지만,부정,0.200000003
너무 시끄럽네요.,부정,0.100000001
끝없이 공사 중.,부정,0.100000001
특별한 볼거리는 없다.,부정,-0.699999988
관광지로는 적합하지 않다.,부정,-0.600000024
아이들 너무 즐거워했어요,긍정,0.899999976
ㅜㅜ 울고불고 난리도 아니었어요,부정,0.300000012
ㅠ 어린이날 좀 속상했어요.,부정,-0.200000003
늘 시위대로 시끄러운 곳.,부정,0
집회때문에 너무 불편했어요,부정,-0.800000012
집회때문에 너무 시끄러웠어요,부정,-0.400000006
너무 복잡해요.,부정,0.100000001
사람들이 너무 많네요.,부정,-0.5
그늘도 많고 쉴자리도 많아요.,긍정,0.899999976
러닝 산책 하러 가기 좋아요.,긍정,0.899999976
호수에서 악취가 납니다.,부정,-0.5
뭔가 지저분하고 볼거없음,부정,-0.300000012
산책하기에좋다,긍정,0.899999976
고즈넉한 도심공원,긍정,0.200000003
여의도공원 중간정도,중립,0
너무 어두운 것이 불편함,부정,-0.800000012
여기 별로입니다,부정,-0.800000012
맛은 없고 값은 엄청 비쌉니다.,부정,-0.5
휠링하기 좋은곳,긍정,0.899999976
볼것도없고그냥뭐동네뒷산갔다온느낌,부정,-0.200000003
아주좋은 공원이예요,긍정,0.899999976
걷기 좋은 장소,긍정,0.899999976
힐링하러 갔다가 헬링 당한 곳,부정,-0.100000001
"먼지가 너무 많고,",부정,-0.800000012
별로 상쾌한 기분이 안듬,부정,-0.699999988
먼지가 너무 많이 날려요,부정,-0.800000012
아이들이 뛰어 놀기 편해요,긍정,0.899999976
사람만 많고 별로임,부정,-0.400000006
바람불면 모래먼지 존많,부정,0.400000006
예상치 못한 실망.,부정,-0.699999988
너무 좋네요.,긍정,0.899999976
사진찍으러갔는데,중립,0
서울의 숲 최고에요,긍정,0.899999976
공휴일엔 너무 북적거네요.,부정,-0.5
