id_f,cons_text
56,"구로자활근무 / 한부모 모자가구 / 17세 자녀와 sh 전세임대 거주중 /  2021년 3월 계약만료 /
현거주집 계약만료되면  집주인이 살겠다고 하며 퇴거 요구하여 공공임대주택 문의 위해 내방함 
집주인 거주의사 밝힌경우 계약 갱신 효력없음 안내 / sh 전세임대 계약연장시 절차나 진행상황  문의 
sh 구로금천지사 , sh 본사 전세임대 맞춤주택부 전화번호 안내함."
57,"> 재 확인결과 SH가 아닌 LH매입임대 신청한것으로 확인됨.
> 본인에게 다시 전화하여 LH전세임대신청원하시면 주민센터 방문하셔서 재신청 권함,
> 전세임대가 먼저 발표나면 전세임대 거주하다가 매입임대로 이전할수 있음을 안내.

- 동 주민센터에서 중복신청 안된다고 하여 매입만 신청했다고 함.
- 이사비용에 대해 지원이 가능한지.

> 목 4동 주민센터에 연락하여 중복신청 가능여부 전달
> 이사비용에 대해서는 주거지원사업 붙게 되면 LH측에서 연락 갈것을 알림."
58,"한국에너지공단으로부터 200만원 지원받아 창문, 방충망, 보일러 설치하였는데 이에 대해 집주인에게 유익비반환청구권 행사와 관련하여
주민센터,법률구조공단으로부터 무료 변호사를 선임받았다고 함
주거상담소가 이 문제에 대해서 별도로 도움을 줄 수 있는지 물어봐서 주거상담소내에는 변호사가 없어서 법률 자문을 해줄 수 없다고 안내하였음

공공임대주택의 종류와 내용에 대해 물어봐서 간략하게 설명하였음"
59,"-전화상담
메모내역 확인하여 5차례 연락드렸으나 부재."
60,"16:00 문자발송

SH 기존주택 매입임대 장기미임대 입주자 수시모집(2차) 공고

■주택유형
다가구가형: 50㎡이하, 모든가구
다가구나형: 50㎡초과 85㎡이하, 3인이상가구
원룸형: 50㎡미만, 1~2인가구

*금천구는 다가구나형 주택만 있으며, 희망시 타지역 신청가능

■모집일정
주택공개: 4/11(월)~4/15(금)
신청접수: 4/13(수)~4/15(금)
서류심사대상자발표: 5/4(수)
입주대상자발표: 6/3(금)

■임대조건
시중 전세가격의 약 30% 수준, 입주대기자가 없는 경우 최장 6년 거주 가능"
61,"국민임대 신청 문의차 내방상담 / 신청서 및 개인정보 동의서 작성 자세하게 안내함.
단지 유형별, 지구,보증금에 대해 지속적으로 반복해서 문의 /  반복해서 같은 내용 안내해드림."
62,"* 가구상황 
- 초록우산어린이재단 지원금 사용내역에 대해 사진 영수증 전달해 주심. 
- 추운 날 허름한 집에서 겨울이 힘들었는데 온열기구와 이불, 아이 점퍼 등을 잘 구입하셨다고 감사하다고 하심. 

* 센터조치 
- 도움이 되셨다니 저희도 감사하다 인사드림. 
- 재단에서 감사편지를 요청하는데 가능하겠는지 확인(*얼마든지 가능하다고 하심), 편지글 주시기로 함.  

*** 초록우산에 보낼 편지 도착하면 센터에서 정리해 재단을 보내기로 함."
63,"<비주택거주자 주거상향지원사업>

남영동주민센터에 전세임대주택 신청서 접수 하신 분
=========================================
입주희망지역 : 후암동인근, 
비주택거주기간 : 4개월
조건부수급자
=====
전세계약금 50만원 준비 알려드림
3개월 후 확정안내문 받으시면 내방하시기로 함
=====
코로나로 조건부 근로도 못하고 많이 답답한 상태. 
담배값이라도 절약해서 꼭 50만원은 만들겠다고 다짐하심.
세상천지에 혼자이지만 잘 살아보려고 애쓰고 있다며
잘 지원부탁한다고 당부하심."
64,"국민임대 안내
문자 받으면 공고문 확인하고 신청하길 안내함"
65,"이사 잘 하셨는지 전화 드림
  7/15일 이사 예정이라고 하셔서 전화 드렸으나 연결되지 않아 문자 드림
  목요일에 다시 전화 드려볼 예정임 

 [ 안녕하세요, 
강북주거복지센터입니다. 
이사 잘 하셨는지 궁금하여 
연락드립니다. 
이사 하신 후 전입신고 하셨다면 
주민등록등본 1통 부탁 드립니다. 
감사합니다.]"
66,"<희망의 빛 나누기>
- 조모 집에 화재 경보기 설치 희망함.
- 2019년 사업 종료->2020년 동주민센터를 통해 추천 받아서 진행함을 안내
- 희망의빛 사업 시작시 신청방법 안내, 추천 대상자 부족시 자체발굴 예비 대상자
- 주거복지 상담은 추에 기록, - 4인가구(부부+성인자녀2명) , 비수급자, 장애 없음.
- 4인가구 소득 460만원(본인180,배우자,50,큰자녀 소득없음:공시준비,막내자녀230)
- 청약 24회이상 납입, 보증금 천만원 마련가능
- 현재 중소기업 대출로 입주함 1억1천만원 (1억대출,천만원 본인부담금) 월이자 12만원
- 방3개 20평 이하 거주중 
- 국민임대, 공공임대 정보제공 공고 알림서비스등록
- 중소기첩 청년대출 월이자, 임대주택 최대 전환 보증금 비교후 임대주택 신청 하시도록 안내
"
67,"당사자가 핸드폰이 없어 직접 통화 어려워 임대인과 통화함.
여명구 님 1월 임차료 입금하였음을 안내, 당사자에게 지원사실 알려주십사 요청드림."
68,"- 방배3동 주거복지교육 진행
- 공공임대주택 책자 및 주거복지서비스 팜플렛 제공
- 전반적인 공공임대주택 안내 
- 주택청약 지속적 납입 권유"
69,"김치 가지러 내방 하심
체온 체크하고 수령 싸인 받은 후 사진 촬영하고 배분함"
70,"- 유선 상담
- 견적 방문 일정으로 통화
- 신청인은 다음주 금요일(6/10) 오후 4시 30분 견적 방문 요청하여 업체와 함께 방문하기로 함"
71,"비수급자
전세임대 7500만원 5년째 거주(본인부담 375만원)
딸 28살 소득이 생겨 세대 분리함
24살 딸과 함께 거주

국민임대 문자 보내드리기로 함
"
